,Family,LigandType,Value,Category
0,Adhesion class orphans,orphan,75.0,Similarity
1,Adhesion class orphans,orphan,54.0,Identify
2,Adhesion class orphans,orphan,70.0,Similarity
3,Adhesion class orphans,orphan,53.0,Identify
4,Adhesion class orphans,orphan,52.0,Similarity
5,Adhesion class orphans,orphan,33.0,Identify
6,Adhesion class orphans,orphan,52.0,Similarity
7,Adhesion class orphans,orphan,32.0,Identify
8,Adhesion class orphans,orphan,51.0,Similarity
9,Adhesion class orphans,orphan,33.0,Identify
10,Adhesion class orphans,orphan,51.0,Similarity
11,Adhesion class orphans,orphan,30.0,Identify
12,Adhesion class orphans,orphan,51.0,Similarity
13,Adhesion class orphans,orphan,28.0,Identify
14,Adhesion class orphans,orphan,51.0,Similarity
15,Adhesion class orphans,orphan,26.0,Identify
16,Adhesion class orphans,orphan,47.0,Similarity
17,Adhesion class orphans,orphan,27.0,Identify
18,Adhesion class orphans,orphan,47.0,Similarity
19,Adhesion class orphans,orphan,25.0,Identify
20,Adhesion class orphans,orphan,44.0,Similarity
21,Adhesion class orphans,orphan,26.0,Identify
22,Adhesion class orphans,orphan,44.0,Similarity
23,Adhesion class orphans,orphan,25.0,Identify
24,Adhesion class orphans,orphan,44.0,Similarity
25,Adhesion class orphans,orphan,24.0,Identify
26,Adhesion class orphans,orphan,43.0,Similarity
27,Adhesion class orphans,orphan,28.0,Identify
28,Adhesion class orphans,orphan,43.0,Similarity
29,Adhesion class orphans,orphan,21.0,Identify
30,Adhesion class orphans,orphan,42.0,Similarity
31,Adhesion class orphans,orphan,19.0,Identify
32,Adhesion class orphans,orphan,41.0,Similarity
33,Adhesion class orphans,orphan,18.0,Identify
34,Adhesion class orphans,orphan,40.0,Similarity
35,Adhesion class orphans,orphan,26.0,Identify
36,Adhesion class orphans,orphan,40.0,Similarity
37,Adhesion class orphans,orphan,22.0,Identify
38,Adhesion class orphans,orphan,40.0,Similarity
39,Adhesion class orphans,orphan,15.0,Identify
40,Adhesion class orphans,orphan,37.0,Similarity
41,Adhesion class orphans,orphan,20.0,Identify
42,Adhesion class orphans,orphan,35.0,Similarity
43,Adhesion class orphans,orphan,18.0,Identify
44,Adhesion class orphans,orphan,33.0,Similarity
45,Adhesion class orphans,orphan,20.0,Identify
46,Adhesion class orphans,orphan,32.0,Similarity
47,Adhesion class orphans,orphan,17.0,Identify
48,Adhesion class orphans,orphan,31.0,Similarity
49,Adhesion class orphans,orphan,15.0,Identify
50,Adhesion class orphans,orphan,30.0,Similarity
51,Adhesion class orphans,orphan,20.0,Identify
52,Adhesion class orphans,orphan,28.0,Similarity
53,Adhesion class orphans,orphan,13.0,Identify
54,Adhesion class orphans,orphan,27.0,Similarity
55,Adhesion class orphans,orphan,13.0,Identify
56,Adhesion class orphans,orphan,21.0,Similarity
57,Adhesion class orphans,orphan,8.0,Identify
58,Adhesion class orphans,orphan,14.0,Similarity
59,Adhesion class orphans,orphan,5.0,Identify
60,Adhesion class orphans,orphan,14.0,Similarity
61,Adhesion class orphans,orphan,5.0,Identify
62,Adhesion class orphans,orphan,0.0,Similarity
63,Adhesion class orphans,orphan,0.0,Identify
64,Adhesion class orphans,orphan,22.0,Similarity
65,Adhesion class orphans,orphan,9.0,Identify
66,Adhesion class orphans,orphan,19.0,Similarity
67,Adhesion class orphans,orphan,10.0,Identify
68,Adhesion class orphans,orphan,19.0,Similarity
69,Adhesion class orphans,orphan,6.0,Identify
70,Adhesion class orphans,orphan,19.0,Similarity
71,Adhesion class orphans,orphan,5.0,Identify
72,Adhesion class orphans,orphan,19.0,Similarity
73,Adhesion class orphans,orphan,5.0,Identify
74,Adhesion class orphans,orphan,18.0,Similarity
75,Adhesion class orphans,orphan,5.0,Identify
76,Adhesion class orphans,orphan,18.0,Similarity
77,Adhesion class orphans,orphan,5.0,Identify
78,Adhesion class orphans,orphan,18.0,Similarity
79,Adhesion class orphans,orphan,4.0,Identify
80,Adhesion class orphans,orphan,17.0,Similarity
81,Adhesion class orphans,orphan,7.0,Identify
82,Adhesion class orphans,orphan,17.0,Similarity
83,Adhesion class orphans,orphan,6.0,Identify
84,Adhesion class orphans,orphan,17.0,Similarity
85,Adhesion class orphans,orphan,6.0,Identify
86,Adhesion class orphans,orphan,17.0,Similarity
87,Adhesion class orphans,orphan,6.0,Identify
88,Adhesion class orphans,orphan,17.0,Similarity
89,Adhesion class orphans,orphan,5.0,Identify
90,Adhesion class orphans,orphan,17.0,Similarity
91,Adhesion class orphans,orphan,5.0,Identify
92,Adhesion class orphans,orphan,16.0,Similarity
93,Adhesion class orphans,orphan,8.0,Identify
94,Adhesion class orphans,orphan,16.0,Similarity
95,Adhesion class orphans,orphan,5.0,Identify
96,Adhesion class orphans,orphan,16.0,Similarity
97,Adhesion class orphans,orphan,5.0,Identify
98,Adhesion class orphans,orphan,16.0,Similarity
99,Adhesion class orphans,orphan,5.0,Identify
100,Adhesion class orphans,orphan,15.0,Similarity
101,Adhesion class orphans,orphan,7.0,Identify
102,Adhesion class orphans,orphan,15.0,Similarity
103,Adhesion class orphans,orphan,6.0,Identify
104,Adhesion class orphans,orphan,15.0,Similarity
105,Adhesion class orphans,orphan,6.0,Identify
106,Adhesion class orphans,orphan,15.0,Similarity
107,Adhesion class orphans,orphan,5.0,Identify
108,Adhesion class orphans,orphan,14.0,Similarity
109,Adhesion class orphans,orphan,7.0,Identify
110,Adhesion class orphans,orphan,14.0,Similarity
111,Adhesion class orphans,orphan,7.0,Identify
112,Adhesion class orphans,orphan,14.0,Similarity
113,Adhesion class orphans,orphan,6.0,Identify
114,Adhesion class orphans,orphan,14.0,Similarity
115,Adhesion class orphans,orphan,6.0,Identify
116,Adhesion class orphans,orphan,14.0,Similarity
117,Adhesion class orphans,orphan,6.0,Identify
118,Adhesion class orphans,orphan,13.0,Similarity
119,Adhesion class orphans,orphan,4.0,Identify
120,Adhesion class orphans,orphan,13.0,Similarity
121,Adhesion class orphans,orphan,3.0,Identify
122,Adhesion class orphans,orphan,11.0,Similarity
123,Adhesion class orphans,orphan,3.0,Identify
124,Adhesion class orphans,orphan,0.0,Similarity
125,Adhesion class orphans,orphan,0.0,Identify
126,Adhesion class orphans,orphan,0.0,Similarity
127,Adhesion class orphans,orphan,0.0,Identify
128,Adhesion class orphans,orphan,0.0,Similarity
129,Adhesion class orphans,orphan,0.0,Identify
130,Adhesion class orphans,orphan,0.0,Similarity
131,Adhesion class orphans,orphan,0.0,Identify
132,Adhesion class orphans,orphan,0.0,Similarity
133,Adhesion class orphans,orphan,0.0,Identify
134,Adhesion class orphans,orphan,0.0,Similarity
135,Adhesion class orphans,orphan,0.0,Identify
136,Adhesion class orphans,orphan,0.0,Similarity
137,Adhesion class orphans,orphan,0.0,Identify
138,Adhesion class orphans,orphan,0.0,Similarity
139,Adhesion class orphans,orphan,0.0,Identify
140,Adhesion class orphans,orphan,0.0,Similarity
141,Adhesion class orphans,orphan,0.0,Identify
142,Adhesion class orphans,orphan,0.0,Similarity
143,Adhesion class orphans,orphan,0.0,Identify
144,Adhesion class orphans,orphan,0.0,Similarity
145,Adhesion class orphans,orphan,0.0,Identify
146,Adhesion class orphans,orphan,0.0,Similarity
147,Adhesion class orphans,orphan,0.0,Identify
148,Adhesion class orphans,orphan,0.0,Similarity
149,Adhesion class orphans,orphan,0.0,Identify
150,Adhesion class orphans,orphan,0.0,Similarity
151,Adhesion class orphans,orphan,0.0,Identify
152,Adhesion class orphans,orphan,0.0,Similarity
153,Adhesion class orphans,orphan,0.0,Identify
154,Adhesion class orphans,orphan,0.0,Similarity
155,Adhesion class orphans,orphan,0.0,Identify
156,Adhesion class orphans,orphan,0.0,Similarity
157,Adhesion class orphans,orphan,0.0,Identify
158,Adhesion class orphans,orphan,0.0,Similarity
159,Adhesion class orphans,orphan,0.0,Identify
160,Adhesion class orphans,orphan,0.0,Similarity
161,Adhesion class orphans,orphan,0.0,Identify
162,Adhesion class orphans,orphan,0.0,Similarity
163,Adhesion class orphans,orphan,0.0,Identify
164,Adhesion class orphans,orphan,0.0,Similarity
165,Adhesion class orphans,orphan,0.0,Identify
166,Adhesion class orphans,orphan,0.0,Similarity
167,Adhesion class orphans,orphan,0.0,Identify
168,Adhesion class orphans,orphan,0.0,Similarity
169,Adhesion class orphans,orphan,0.0,Identify
170,Adhesion class orphans,orphan,0.0,Similarity
171,Adhesion class orphans,orphan,0.0,Identify
172,Adhesion class orphans,orphan,0.0,Similarity
173,Adhesion class orphans,orphan,0.0,Identify
174,Adhesion class orphans,orphan,0.0,Similarity
175,Adhesion class orphans,orphan,0.0,Identify
176,Adhesion class orphans,orphan,0.0,Similarity
177,Adhesion class orphans,orphan,0.0,Identify
178,Adhesion class orphans,orphan,0.0,Similarity
179,Adhesion class orphans,orphan,0.0,Identify
180,Adhesion class orphans,orphan,0.0,Similarity
181,Adhesion class orphans,orphan,0.0,Identify
182,Adhesion class orphans,orphan,0.0,Similarity
183,Adhesion class orphans,orphan,0.0,Identify
184,Adhesion class orphans,orphan,0.0,Similarity
185,Adhesion class orphans,orphan,0.0,Identify
186,Adhesion class orphans,orphan,86.0,Similarity
187,Adhesion class orphans,orphan,69.0,Identify
188,Adhesion class orphans,orphan,60.0,Similarity
189,Adhesion class orphans,orphan,44.0,Identify
190,Adhesion class orphans,orphan,59.0,Similarity
191,Adhesion class orphans,orphan,39.0,Identify
192,Adhesion class orphans,orphan,59.0,Similarity
193,Adhesion class orphans,orphan,33.0,Identify
194,Adhesion class orphans,orphan,54.0,Similarity
195,Adhesion class orphans,orphan,39.0,Identify
196,Adhesion class orphans,orphan,54.0,Similarity
197,Adhesion class orphans,orphan,33.0,Identify
198,Adhesion class orphans,orphan,53.0,Similarity
199,Adhesion class orphans,orphan,31.0,Identify
200,Adhesion class orphans,orphan,52.0,Similarity
201,Adhesion class orphans,orphan,38.0,Identify
202,Adhesion class orphans,orphan,52.0,Similarity
203,Adhesion class orphans,orphan,29.0,Identify
204,Adhesion class orphans,orphan,50.0,Similarity
205,Adhesion class orphans,orphan,35.0,Identify
206,Adhesion class orphans,orphan,46.0,Similarity
207,Adhesion class orphans,orphan,27.0,Identify
208,Adhesion class orphans,orphan,45.0,Similarity
209,Adhesion class orphans,orphan,25.0,Identify
210,Adhesion class orphans,orphan,43.0,Similarity
211,Adhesion class orphans,orphan,26.0,Identify
212,Adhesion class orphans,orphan,43.0,Similarity
213,Adhesion class orphans,orphan,25.0,Identify
214,Adhesion class orphans,orphan,43.0,Similarity
215,Adhesion class orphans,orphan,22.0,Identify
216,Adhesion class orphans,orphan,39.0,Similarity
217,Adhesion class orphans,orphan,26.0,Identify
218,Adhesion class orphans,orphan,38.0,Similarity
219,Adhesion class orphans,orphan,20.0,Identify
220,Adhesion class orphans,orphan,38.0,Similarity
221,Adhesion class orphans,orphan,18.0,Identify
222,Adhesion class orphans,orphan,38.0,Similarity
223,Adhesion class orphans,orphan,18.0,Identify
224,Adhesion class orphans,orphan,37.0,Similarity
225,Adhesion class orphans,orphan,21.0,Identify
226,Adhesion class orphans,orphan,34.0,Similarity
227,Adhesion class orphans,orphan,17.0,Identify
228,Adhesion class orphans,orphan,33.0,Similarity
229,Adhesion class orphans,orphan,22.0,Identify
230,Adhesion class orphans,orphan,33.0,Similarity
231,Adhesion class orphans,orphan,17.0,Identify
232,Adhesion class orphans,orphan,32.0,Similarity
233,Adhesion class orphans,orphan,16.0,Identify
234,Adhesion class orphans,orphan,32.0,Similarity
235,Adhesion class orphans,orphan,14.0,Identify
236,Adhesion class orphans,orphan,30.0,Similarity
237,Adhesion class orphans,orphan,17.0,Identify
238,Adhesion class orphans,orphan,28.0,Similarity
239,Adhesion class orphans,orphan,14.0,Identify
240,Adhesion class orphans,orphan,15.0,Similarity
241,Adhesion class orphans,orphan,5.0,Identify
242,Adhesion class orphans,orphan,11.0,Similarity
243,Adhesion class orphans,orphan,6.0,Identify
244,Adhesion class orphans,orphan,36.0,Similarity
245,Adhesion class orphans,orphan,22.0,Identify
246,Adhesion class orphans,orphan,34.0,Similarity
247,Adhesion class orphans,orphan,23.0,Identify
248,Adhesion class orphans,orphan,32.0,Similarity
249,Adhesion class orphans,orphan,18.0,Identify
250,Adhesion class orphans,orphan,32.0,Similarity
251,Adhesion class orphans,orphan,18.0,Identify
252,Adhesion class orphans,orphan,32.0,Similarity
253,Adhesion class orphans,orphan,15.0,Identify
254,Adhesion class orphans,orphan,31.0,Similarity
255,Adhesion class orphans,orphan,19.0,Identify
256,Adhesion class orphans,orphan,31.0,Similarity
257,Adhesion class orphans,orphan,16.0,Identify
258,Adhesion class orphans,orphan,31.0,Similarity
259,Adhesion class orphans,orphan,16.0,Identify
260,Adhesion class orphans,orphan,31.0,Similarity
261,Adhesion class orphans,orphan,14.0,Identify
262,Adhesion class orphans,orphan,30.0,Similarity
263,Adhesion class orphans,orphan,16.0,Identify
264,Adhesion class orphans,orphan,30.0,Similarity
265,Adhesion class orphans,orphan,16.0,Identify
266,Adhesion class orphans,orphan,30.0,Similarity
267,Adhesion class orphans,orphan,14.0,Identify
268,Adhesion class orphans,orphan,29.0,Similarity
269,Adhesion class orphans,orphan,18.0,Identify
270,Adhesion class orphans,orphan,29.0,Similarity
271,Adhesion class orphans,orphan,14.0,Identify
272,Adhesion class orphans,orphan,28.0,Similarity
273,Adhesion class orphans,orphan,16.0,Identify
274,Adhesion class orphans,orphan,28.0,Similarity
275,Adhesion class orphans,orphan,16.0,Identify
276,Adhesion class orphans,orphan,28.0,Similarity
277,Adhesion class orphans,orphan,16.0,Identify
278,Adhesion class orphans,orphan,28.0,Similarity
279,Adhesion class orphans,orphan,13.0,Identify
280,Adhesion class orphans,orphan,28.0,Similarity
281,Adhesion class orphans,orphan,12.0,Identify
282,Adhesion class orphans,orphan,27.0,Similarity
283,Adhesion class orphans,orphan,15.0,Identify
284,Adhesion class orphans,orphan,27.0,Similarity
285,Adhesion class orphans,orphan,15.0,Identify
286,Adhesion class orphans,orphan,26.0,Similarity
287,Adhesion class orphans,orphan,17.0,Identify
288,Adhesion class orphans,orphan,26.0,Similarity
289,Adhesion class orphans,orphan,12.0,Identify
290,Adhesion class orphans,orphan,25.0,Similarity
291,Adhesion class orphans,orphan,12.0,Identify
292,Adhesion class orphans,orphan,24.0,Similarity
293,Adhesion class orphans,orphan,13.0,Identify
294,Adhesion class orphans,orphan,23.0,Similarity
295,Adhesion class orphans,orphan,11.0,Identify
296,Adhesion class orphans,orphan,15.0,Similarity
297,Adhesion class orphans,orphan,6.0,Identify
298,Adhesion class orphans,orphan,15.0,Similarity
299,Adhesion class orphans,orphan,3.0,Identify
300,Adhesion class orphans,orphan,56.0,Similarity
301,Adhesion class orphans,orphan,44.0,Identify
302,Adhesion class orphans,orphan,39.0,Similarity
303,Adhesion class orphans,orphan,22.0,Identify
304,Adhesion class orphans,orphan,38.0,Similarity
305,Adhesion class orphans,orphan,24.0,Identify
306,Adhesion class orphans,orphan,37.0,Similarity
307,Adhesion class orphans,orphan,18.0,Identify
308,Adhesion class orphans,orphan,36.0,Similarity
309,Adhesion class orphans,orphan,23.0,Identify
310,Adhesion class orphans,orphan,36.0,Similarity
311,Adhesion class orphans,orphan,19.0,Identify
312,Adhesion class orphans,orphan,34.0,Similarity
313,Adhesion class orphans,orphan,19.0,Identify
314,Adhesion class orphans,orphan,34.0,Similarity
315,Adhesion class orphans,orphan,17.0,Identify
316,Adhesion class orphans,orphan,34.0,Similarity
317,Adhesion class orphans,orphan,16.0,Identify
318,Adhesion class orphans,orphan,34.0,Similarity
319,Adhesion class orphans,orphan,14.0,Identify
320,Adhesion class orphans,orphan,33.0,Similarity
321,Adhesion class orphans,orphan,17.0,Identify
322,Adhesion class orphans,orphan,32.0,Similarity
323,Adhesion class orphans,orphan,17.0,Identify
324,Adhesion class orphans,orphan,32.0,Similarity
325,Adhesion class orphans,orphan,17.0,Identify
326,Adhesion class orphans,orphan,32.0,Similarity
327,Adhesion class orphans,orphan,15.0,Identify
328,Adhesion class orphans,orphan,32.0,Similarity
329,Adhesion class orphans,orphan,15.0,Identify
330,Adhesion class orphans,orphan,32.0,Similarity
331,Adhesion class orphans,orphan,12.0,Identify
332,Adhesion class orphans,orphan,31.0,Similarity
333,Adhesion class orphans,orphan,15.0,Identify
334,Adhesion class orphans,orphan,30.0,Similarity
335,Adhesion class orphans,orphan,16.0,Identify
336,Adhesion class orphans,orphan,30.0,Similarity
337,Adhesion class orphans,orphan,16.0,Identify
338,Adhesion class orphans,orphan,30.0,Similarity
339,Adhesion class orphans,orphan,16.0,Identify
340,Adhesion class orphans,orphan,29.0,Similarity
341,Adhesion class orphans,orphan,15.0,Identify
342,Adhesion class orphans,orphan,29.0,Similarity
343,Adhesion class orphans,orphan,15.0,Identify
344,Adhesion class orphans,orphan,26.0,Similarity
345,Adhesion class orphans,orphan,12.0,Identify
346,Adhesion class orphans,orphan,23.0,Similarity
347,Adhesion class orphans,orphan,11.0,Identify
348,Adhesion class orphans,orphan,22.0,Similarity
349,Adhesion class orphans,orphan,8.0,Identify
350,Adhesion class orphans,orphan,20.0,Similarity
351,Adhesion class orphans,orphan,8.0,Identify
352,Adhesion class orphans,orphan,12.0,Similarity
353,Adhesion class orphans,orphan,4.0,Identify
354,Adhesion class orphans,orphan,53.0,Similarity
355,Adhesion class orphans,orphan,38.0,Identify
356,Adhesion class orphans,orphan,51.0,Similarity
357,Adhesion class orphans,orphan,31.0,Identify
358,Adhesion class orphans,orphan,50.0,Similarity
359,Adhesion class orphans,orphan,36.0,Identify
360,Adhesion class orphans,orphan,46.0,Similarity
361,Adhesion class orphans,orphan,30.0,Identify
362,Adhesion class orphans,orphan,46.0,Similarity
363,Adhesion class orphans,orphan,30.0,Identify
364,Adhesion class orphans,orphan,44.0,Similarity
365,Adhesion class orphans,orphan,28.0,Identify
366,Adhesion class orphans,orphan,44.0,Similarity
367,Adhesion class orphans,orphan,28.0,Identify
368,Adhesion class orphans,orphan,43.0,Similarity
369,Adhesion class orphans,orphan,25.0,Identify
370,Adhesion class orphans,orphan,43.0,Similarity
371,Adhesion class orphans,orphan,21.0,Identify
372,Adhesion class orphans,orphan,39.0,Similarity
373,Adhesion class orphans,orphan,23.0,Identify
374,Adhesion class orphans,orphan,39.0,Similarity
375,Adhesion class orphans,orphan,22.0,Identify
376,Adhesion class orphans,orphan,37.0,Similarity
377,Adhesion class orphans,orphan,21.0,Identify
378,Adhesion class orphans,orphan,37.0,Similarity
379,Adhesion class orphans,orphan,20.0,Identify
380,Adhesion class orphans,orphan,36.0,Similarity
381,Adhesion class orphans,orphan,20.0,Identify
382,Adhesion class orphans,orphan,36.0,Similarity
383,Adhesion class orphans,orphan,19.0,Identify
384,Adhesion class orphans,orphan,36.0,Similarity
385,Adhesion class orphans,orphan,18.0,Identify
386,Adhesion class orphans,orphan,34.0,Similarity
387,Adhesion class orphans,orphan,16.0,Identify
388,Adhesion class orphans,orphan,33.0,Similarity
389,Adhesion class orphans,orphan,20.0,Identify
390,Adhesion class orphans,orphan,33.0,Similarity
391,Adhesion class orphans,orphan,19.0,Identify
392,Adhesion class orphans,orphan,33.0,Similarity
393,Adhesion class orphans,orphan,18.0,Identify
394,Adhesion class orphans,orphan,33.0,Similarity
395,Adhesion class orphans,orphan,13.0,Identify
396,Adhesion class orphans,orphan,32.0,Similarity
397,Adhesion class orphans,orphan,15.0,Identify
398,Adhesion class orphans,orphan,29.0,Similarity
399,Adhesion class orphans,orphan,19.0,Identify
400,Adhesion class orphans,orphan,26.0,Similarity
401,Adhesion class orphans,orphan,10.0,Identify
402,Adhesion class orphans,orphan,18.0,Similarity
403,Adhesion class orphans,orphan,9.0,Identify
404,Adhesion class orphans,orphan,13.0,Similarity
405,Adhesion class orphans,orphan,5.0,Identify
406,Adhesion class orphans,orphan,57.0,Similarity
407,Adhesion class orphans,orphan,34.0,Identify
408,Adhesion class orphans,orphan,53.0,Similarity
409,Adhesion class orphans,orphan,34.0,Identify
410,Adhesion class orphans,orphan,53.0,Similarity
411,Adhesion class orphans,orphan,29.0,Identify
412,Adhesion class orphans,orphan,51.0,Similarity
413,Adhesion class orphans,orphan,30.0,Identify
414,Adhesion class orphans,orphan,50.0,Similarity
415,Adhesion class orphans,orphan,32.0,Identify
416,Adhesion class orphans,orphan,50.0,Similarity
417,Adhesion class orphans,orphan,30.0,Identify
418,Adhesion class orphans,orphan,50.0,Similarity
419,Adhesion class orphans,orphan,29.0,Identify
420,Adhesion class orphans,orphan,50.0,Similarity
421,Adhesion class orphans,orphan,28.0,Identify
422,Adhesion class orphans,orphan,50.0,Similarity
423,Adhesion class orphans,orphan,26.0,Identify
424,Adhesion class orphans,orphan,49.0,Similarity
425,Adhesion class orphans,orphan,27.0,Identify
426,Adhesion class orphans,orphan,47.0,Similarity
427,Adhesion class orphans,orphan,26.0,Identify
428,Adhesion class orphans,orphan,47.0,Similarity
429,Adhesion class orphans,orphan,24.0,Identify
430,Adhesion class orphans,orphan,43.0,Similarity
431,Adhesion class orphans,orphan,29.0,Identify
432,Adhesion class orphans,orphan,43.0,Similarity
433,Adhesion class orphans,orphan,25.0,Identify
434,Adhesion class orphans,orphan,43.0,Similarity
435,Adhesion class orphans,orphan,20.0,Identify
436,Adhesion class orphans,orphan,42.0,Similarity
437,Adhesion class orphans,orphan,21.0,Identify
438,Adhesion class orphans,orphan,41.0,Similarity
439,Adhesion class orphans,orphan,22.0,Identify
440,Adhesion class orphans,orphan,38.0,Similarity
441,Adhesion class orphans,orphan,20.0,Identify
442,Adhesion class orphans,orphan,37.0,Similarity
443,Adhesion class orphans,orphan,19.0,Identify
444,Adhesion class orphans,orphan,35.0,Similarity
445,Adhesion class orphans,orphan,20.0,Identify
446,Adhesion class orphans,orphan,34.0,Similarity
447,Adhesion class orphans,orphan,16.0,Identify
448,Adhesion class orphans,orphan,32.0,Similarity
449,Adhesion class orphans,orphan,18.0,Identify
450,Adhesion class orphans,orphan,29.0,Similarity
451,Adhesion class orphans,orphan,13.0,Identify
452,Adhesion class orphans,orphan,18.0,Similarity
453,Adhesion class orphans,orphan,8.0,Identify
454,Adhesion class orphans,orphan,15.0,Similarity
455,Adhesion class orphans,orphan,6.0,Identify
456,Adhesion class orphans,orphan,41.0,Similarity
457,Adhesion class orphans,orphan,26.0,Identify
458,Adhesion class orphans,orphan,39.0,Similarity
459,Adhesion class orphans,orphan,18.0,Identify
460,Adhesion class orphans,orphan,35.0,Similarity
461,Adhesion class orphans,orphan,16.0,Identify
462,Adhesion class orphans,orphan,34.0,Similarity
463,Adhesion class orphans,orphan,19.0,Identify
464,Adhesion class orphans,orphan,34.0,Similarity
465,Adhesion class orphans,orphan,19.0,Identify
466,Adhesion class orphans,orphan,33.0,Similarity
467,Adhesion class orphans,orphan,18.0,Identify
468,Adhesion class orphans,orphan,33.0,Similarity
469,Adhesion class orphans,orphan,18.0,Identify
470,Adhesion class orphans,orphan,33.0,Similarity
471,Adhesion class orphans,orphan,16.0,Identify
472,Adhesion class orphans,orphan,32.0,Similarity
473,Adhesion class orphans,orphan,20.0,Identify
474,Adhesion class orphans,orphan,32.0,Similarity
475,Adhesion class orphans,orphan,18.0,Identify
476,Adhesion class orphans,orphan,32.0,Similarity
477,Adhesion class orphans,orphan,18.0,Identify
478,Adhesion class orphans,orphan,32.0,Similarity
479,Adhesion class orphans,orphan,16.0,Identify
480,Adhesion class orphans,orphan,31.0,Similarity
481,Adhesion class orphans,orphan,17.0,Identify
482,Adhesion class orphans,orphan,30.0,Similarity
483,Adhesion class orphans,orphan,17.0,Identify
484,Adhesion class orphans,orphan,30.0,Similarity
485,Adhesion class orphans,orphan,14.0,Identify
486,Adhesion class orphans,orphan,30.0,Similarity
487,Adhesion class orphans,orphan,12.0,Identify
488,Adhesion class orphans,orphan,29.0,Similarity
489,Adhesion class orphans,orphan,18.0,Identify
490,Adhesion class orphans,orphan,29.0,Similarity
491,Adhesion class orphans,orphan,17.0,Identify
492,Adhesion class orphans,orphan,29.0,Similarity
493,Adhesion class orphans,orphan,14.0,Identify
494,Adhesion class orphans,orphan,29.0,Similarity
495,Adhesion class orphans,orphan,13.0,Identify
496,Adhesion class orphans,orphan,28.0,Similarity
497,Adhesion class orphans,orphan,13.0,Identify
498,Adhesion class orphans,orphan,23.0,Similarity
499,Adhesion class orphans,orphan,10.0,Identify
500,Adhesion class orphans,orphan,20.0,Similarity
501,Adhesion class orphans,orphan,9.0,Identify
502,Adhesion class orphans,orphan,11.0,Similarity
503,Adhesion class orphans,orphan,6.0,Identify
504,Adhesion class orphans,orphan,42.0,Similarity
505,Adhesion class orphans,orphan,26.0,Identify
506,Adhesion class orphans,orphan,41.0,Similarity
507,Adhesion class orphans,orphan,25.0,Identify
508,Adhesion class orphans,orphan,40.0,Similarity
509,Adhesion class orphans,orphan,23.0,Identify
510,Adhesion class orphans,orphan,40.0,Similarity
511,Adhesion class orphans,orphan,23.0,Identify
512,Adhesion class orphans,orphan,40.0,Similarity
513,Adhesion class orphans,orphan,21.0,Identify
514,Adhesion class orphans,orphan,38.0,Similarity
515,Adhesion class orphans,orphan,24.0,Identify
516,Adhesion class orphans,orphan,37.0,Similarity
517,Adhesion class orphans,orphan,21.0,Identify
518,Adhesion class orphans,orphan,37.0,Similarity
519,Adhesion class orphans,orphan,21.0,Identify
520,Adhesion class orphans,orphan,37.0,Similarity
521,Adhesion class orphans,orphan,19.0,Identify
522,Adhesion class orphans,orphan,36.0,Similarity
523,Adhesion class orphans,orphan,21.0,Identify
524,Adhesion class orphans,orphan,35.0,Similarity
525,Adhesion class orphans,orphan,17.0,Identify
526,Adhesion class orphans,orphan,34.0,Similarity
527,Adhesion class orphans,orphan,19.0,Identify
528,Adhesion class orphans,orphan,34.0,Similarity
529,Adhesion class orphans,orphan,19.0,Identify
